Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2023-01-03 23:24:55,"Evening Workout",31s,"Running",1,0,0,1.0,540,"","",
2023-02-11 14:04:20,"Afternoon Workout",1m,"Decline Crunch",1,25.0,20,0,0,"","",
2023-02-11 14:04:20,"Afternoon Workout",1m,"Decline Crunch",2,25.0,20,0,0,,,
2023-02-11 14:04:20,"Afternoon Workout",1m,"Reverse Crunch",1,70.0,15,0,0,"",,
2023-02-11 15:45:47,"Afternoon Workout",1h 11m,"Reverse Crunch",1,55.0,20,0,0,"","",
2023-02-11 15:45:47,"Afternoon Workout",1h 11m,"Reverse Crunch",2,70.0,15,0,0,,,
2023-02-11 15:45:47,"Afternoon Workout",1h 11m,"Reverse Crunch",3,70.0,18,0,0,,,
2023-02-11 15:45:47,"Afternoon Workout",1h 11m,"Deadhang",1,0,0,0,75,"",,
2023-02-11 15:45:47,"Afternoon Workout",1h 11m,"T Bar Row",1,35.0,10,0,0,"",,
2023-02-11 15:45:47,"Afternoon Workout",1h 11m,"Skullcrusher (Barbell)",1,40.0,16,0,0,"",,
2023-02-11 15:45:47,"Afternoon Workout",1h 11m,"Skullcrusher (Barbell)",2,40.0,20,0,0,,,
2023-02-13 12:35:27,"DLegs",22m,"Nordic Curl",1,0,3,0,0,"","",
2023-02-13 12:35:27,"DLegs",22m,"Nordic Curl",2,0,3,0,0,,,
2023-02-13 12:35:27,"DLegs",22m,"Tib Raises",1,10.0,40,0,0,"",,
2023-02-13 12:35:27,"DLegs",22m,"Tib Raises",2,10.0,40,0,0,,,
2023-02-13 12:35:27,"DLegs",22m,"Tib Raises",3,10.0,40,0,0,,,
2023-02-13 12:35:27,"DLegs",22m,"Deadlift (Barbell)",1,135.0,10,0,0,"",,
2023-02-13 12:35:27,"DLegs",22m,"Deadlift (Barbell)",2,175.0,5,0,0,,,
2023-02-13 12:35:27,"DLegs",22m,"Deadlift (Barbell)",3,185.00000000000003,4,0,0,,,
2023-02-13 12:35:27,"DLegs",22m,"Deadlift (Barbell)",4,135.0,10,0,0,,,
2023-02-14 22:48:27,"Evening Workout",4m,"Pull-Up Blue Band",1,0,7,0,0,"","",
2023-02-14 22:48:27,"Evening Workout",4m,"Pull-Up Blue Band",2,0,11,0,0,,,
2023-02-14 22:48:27,"Evening Workout",4m,"Pull-Up Blue Band",3,0,10,0,0,,,
2023-02-14 22:48:27,"Evening Workout",4m,"Pull Aparts - Green Thin Band",1,0,30,0,0,"",,
2023-02-14 22:48:27,"Evening Workout",4m,"Pull Aparts - Green Thin Band",2,0,30,0,0,,,
2023-02-14 22:48:27,"Evening Workout",4m,"Pull Aparts - Green Thin Band",3,0,1,0,0,,,
2023-02-14 22:48:27,"Evening Workout",4m,"Overhead Press -  Blue Band",1,0,20,0,0,"",,
2023-02-14 22:48:27,"Evening Workout",4m,"Overhead Press -  Blue Band",2,0,10,0,0,,,
2023-02-15 21:56:11,"New Template",43h 14m,"Nordic Curl",1,0,2,0,0,"","",
2023-02-15 21:56:11,"New Template",43h 14m,"Nordic Curl",2,0,1,0,0,,,
2023-02-15 21:56:11,"New Template",43h 14m,"Nordic Curl",3,0,1,0,0,,,
2023-02-15 21:56:11,"New Template",43h 14m,"Nordic Curl",4,0,1,0,0,,,
2023-02-15 21:56:11,"New Template",43h 14m,"Tib Raises",1,10.0,40,0,0,"",,
2023-02-15 21:56:11,"New Template",43h 14m,"Tib Raises",2,10.0,40,0,0,,,
2023-02-15 21:56:11,"New Template",43h 14m,"Deadlift (Barbell)",1,185.00000000000003,3,0,0,"",,
2023-02-15 21:56:11,"New Template",43h 14m,"Deadlift (Barbell)",2,195.0,3,0,0,,,
2023-02-15 21:56:11,"New Template",43h 14m,"Deadlift (Barbell)",3,225.0,3,0,0,,,
2023-02-15 21:56:11,"New Template",43h 14m,"Deadlift (Barbell)",4,235.0,3,0,0,,,
2023-02-15 21:56:11,"New Template",43h 14m,"Deadlift (Barbell)",5,245.00000000000003,3,0,0,,,
2023-02-15 21:56:11,"New Template",43h 14m,"Deadlift (Barbell)",6,225.0,5,0,0,,,
2023-02-15 21:56:11,"New Template",43h 14m,"Deadlift (Barbell)",7,185.00000000000003,5,0,0,,,
2023-02-17 17:11:07,"Afternoon Workout",7h 19m,"Push Up",1,0,20,0,0,"","",
2023-02-17 17:11:07,"Afternoon Workout",7h 19m,"Push Up",2,0,16,0,0,,,
2023-02-17 17:11:07,"Afternoon Workout",7h 19m,"Push Up",3,0,11,0,0,,,
2023-02-17 17:11:07,"Afternoon Workout",7h 19m,"Push Up",4,0,10,0,0,,,
2023-02-17 17:11:07,"Afternoon Workout",7h 19m,"Inverted Row (Bodyweight)",1,0,17,0,0,"",,
2023-02-17 17:11:07,"Afternoon Workout",7h 19m,"Inverted Row (Bodyweight)",2,0,12,0,0,,,
2023-02-17 17:11:07,"Afternoon Workout",7h 19m,"Inverted Row (Bodyweight)",3,0,10,0,0,,,
2023-02-17 17:11:07,"Afternoon Workout",7h 19m,"Triceps Pushdown (Cable - Straight Bar)",1,1.0,15,0,0,"",,
2023-02-17 17:11:07,"Afternoon Workout",7h 19m,"Triceps Pushdown (Cable - Straight Bar)",2,1.0,10,0,0,,,
2023-02-19 13:21:13,"Midday Workout",73h 13m,"Step Down",1,0,10,0,0,"","",
2023-02-19 13:21:13,"Midday Workout",73h 13m,"Step Down",2,0,10,0,0,,,
2023-02-19 13:21:13,"Midday Workout",73h 13m,"Face Pull (Cable)",1,120.0,20,0,0,"",,
2023-02-19 13:21:13,"Midday Workout",73h 13m,"Face Pull (Cable)",2,130.0,17,0,0,,,
2023-02-19 13:21:13,"Midday Workout",73h 13m,"Reverse Squat",1,55.0,8,0,0,"",,
2023-02-19 13:21:13,"Midday Workout",73h 13m,"Reverse Squat",2,70.0,20,0,0,,,
2023-02-19 13:21:13,"Midday Workout",73h 13m,"Hammer Curl (Dumbbell)",1,35.0,20,0,0,"",,
2023-02-22 14:37:14,"Afternoon Workout",41m,"Pull Aparts - Green Thin Band",1,0,30,0,0,"","",
2023-02-22 14:37:14,"Afternoon Workout",41m,"Overhead Press (Barbell)",1,1.0,1,0,0,"",,
2023-02-22 14:37:14,"Afternoon Workout",41m,"T Bar Row",1,60.0,12,0,0,"",,
2023-02-22 14:37:14,"Afternoon Workout",41m,"Step Down",1,0,10,0,0,"",,
2023-02-22 14:37:14,"Afternoon Workout",41m,"Step Down",2,0,10,0,0,,,
2023-02-22 14:37:14,"Afternoon Workout",41m,"Deadhang",1,0,0,0,70,"",,
2023-02-23 11:36:17,"DL Day",1h 32m,"Nordic Curl",1,0,3,0,0,"","",
2023-02-23 11:36:17,"DL Day",1h 32m,"Nordic Curl",2,0,1,0,0,,,
2023-02-23 11:36:17,"DL Day",1h 32m,"Nordic Curl",3,0,1,0,0,,,
2023-02-23 11:36:17,"DL Day",1h 32m,"Tib Raises",1,10.0,50,0,0,"",,
2023-02-23 11:36:17,"DL Day",1h 32m,"Tib Raises",2,12.0,47,0,0,,,
2023-02-23 11:36:17,"DL Day",1h 32m,"Deadlift (Barbell)",1,135.0,8,0,0,"",,
2023-02-23 11:36:17,"DL Day",1h 32m,"Deadlift (Barbell)",2,185.00000000000003,3,0,0,,,
2023-02-23 11:36:17,"DL Day",1h 32m,"Deadlift (Barbell)",3,195.0,3,0,0,,,
2023-02-23 11:36:17,"DL Day",1h 32m,"Deadlift (Barbell)",4,225.0,3,0,0,,,
2023-02-23 11:36:17,"DL Day",1h 32m,"Deadlift (Barbell)",5,245.00000000000003,3,0,0,,,
2023-02-23 11:36:17,"DL Day",1h 32m,"Deadlift (Barbell)",6,255.0,5,0,0,,,
2023-02-23 11:36:17,"DL Day",1h 32m,"Deadlift (Barbell)",7,245.00000000000003,3,0,0,,,
2023-02-23 11:36:17,"DL Day",1h 32m,"Deadlift (Barbell)",8,225.0,5,0,0,,,
2023-02-24 17:11:45,"Afternoon Workout",41m,"Dumbbell Shoulder External Rotation ",1,15.0,12,0,0,"","",
2023-02-24 17:11:45,"Afternoon Workout",41m,"Dumbbell Shoulder External Rotation ",2,12.0,7,0,0,,,
2023-02-24 17:11:45,"Afternoon Workout",41m,"Dumbbell Shoulder External Rotation ",3,12.0,20,0,0,,,
2023-02-24 17:11:45,"Afternoon Workout",41m,"Push Up",1,0,14,0,0,"",,
2023-02-24 17:11:45,"Afternoon Workout",41m,"Push Up",2,0,20,0,0,,,
2023-02-24 17:11:45,"Afternoon Workout",41m,"Push Up",3,0,20,0,0,,,
2023-02-24 17:11:45,"Afternoon Workout",41m,"Push Up",4,0,12,0,0,,,
2023-02-24 17:11:45,"Afternoon Workout",41m,"Deadhang",1,0,0,0,80,"",,
2023-02-24 17:11:45,"Afternoon Workout",41m,"Triceps Extension (Dumbbell)",1,40.0,5,0,0,"",,
2023-02-24 17:11:45,"Afternoon Workout",41m,"Triceps Extension (Dumbbell)",2,35.0,20,0,0,,,
2023-02-24 17:11:45,"Afternoon Workout",41m,"Triceps Extension (Dumbbell)",3,35.0,11,0,0,,,
2023-02-25 13:40:15,"Midday Workout",1h 22m,"Pull-Up Blue Band",1,0,10,0,0,"","",
2023-02-25 13:40:15,"Midday Workout",1h 22m,"Pull-Up Green Band",1,0,8,0,0,"",,
2023-02-25 13:40:15,"Midday Workout",1h 22m,"Pull-Up Green Band",2,0,9,0,0,,,
2023-02-25 13:40:15,"Midday Workout",1h 22m,"Lat Prayers",1,55.0,10,0,0,"",,
2023-02-25 13:40:15,"Midday Workout",1h 22m,"Lat Prayers",2,55.0,10,0,0,,,
2023-02-25 13:40:15,"Midday Workout",1h 22m,"Reverse Squat",1,55.0,12,0,0,"",,
2023-02-25 13:40:15,"Midday Workout",1h 22m,"Reverse Squat",2,70.0,15,0,0,,,
2023-02-25 13:40:15,"Midday Workout",1h 22m,"Reverse Squat",3,80.0,15,0,0,,,
2023-02-25 13:40:15,"Midday Workout",1h 22m,"Reverse Squat",4,80.0,10,0,0,,,
2023-02-25 13:40:15,"Midday Workout",1h 22m,"Bicep Curl (Dumbbell)",1,35.0,30,0,0,"",,
2023-02-25 13:40:15,"Midday Workout",1h 22m,"Concentration Curl (Dumbbell)",1,30.0,3,0,0,"",,
2023-02-27 11:22:58,"Morning Workout",47m,"Overhead Press (Barbell)",1,45.0,7,0,0,"","",
2023-02-27 11:22:58,"Morning Workout",47m,"Overhead Press (Barbell)",2,55.0,7,0,0,,,
2023-02-27 11:22:58,"Morning Workout",47m,"Overhead Press (Barbell)",3,55.0,7,0,0,,,
2023-02-27 11:22:58,"Morning Workout",47m,"Step Down",1,0,5,0,0,"",,
2023-02-27 11:22:58,"Morning Workout",47m,"Step Down",2,0,8,0,0,,,
2023-02-27 11:22:58,"Morning Workout",47m,"Incline Bench Press (Dumbbell)",1,35.0,13,0,0,"",,
2023-02-27 11:22:58,"Morning Workout",47m,"Incline Bench Press (Dumbbell)",2,35.0,15,0,0,,,
2023-03-01 15:12:58,"Afternoon Workout",20m,"Bicep Curl (Dumbbell)",1,35.0,15,0,0,"","",
2023-03-01 15:12:58,"Afternoon Workout",20m,"Bicep Curl (Dumbbell)",2,40.0,15,0,0,,,
2023-03-01 15:12:58,"Afternoon Workout",20m,"Triceps Single Arm Extension (Dumbbell)",1,20.0,20,0,0,"",,
2023-03-01 15:12:58,"Afternoon Workout",20m,"Triceps Extension (Dumbbell)",1,35.0,15,0,0,"",,
2023-03-02 12:34:18,"DL Day",95h 25m,"Nordic Curl",1,0,3,0,0,"","",
2023-03-02 12:34:18,"DL Day",95h 25m,"Tib Raises",1,10.0,50,0,0,"",,
2023-03-02 12:34:18,"DL Day",95h 25m,"Tib Raises",2,10.0,53,0,0,,,
2023-03-02 12:34:18,"DL Day",95h 25m,"Deadlift (Barbell)",1,135.0,3,0,0,"",,
2023-03-02 12:34:18,"DL Day",95h 25m,"Deadlift (Barbell)",2,185.00000000000003,3,0,0,,,
2023-03-02 12:34:18,"DL Day",95h 25m,"Deadlift (Barbell)",3,205.0,3,0,0,,,
2023-03-02 12:34:18,"DL Day",95h 25m,"Deadlift (Barbell)",4,245.00000000000003,3,0,0,,,
2023-03-02 12:34:18,"DL Day",95h 25m,"Deadlift (Barbell)",5,265.0,1,0,0,,,
2023-03-02 12:34:18,"DL Day",95h 25m,"Deadlift (Barbell)",6,265.0,5,0,0,,,
2023-03-02 12:34:18,"DL Day",95h 25m,"Deadlift (Barbell)",7,245.00000000000003,5,0,0,,,
2023-03-02 12:34:18,"DL Day",95h 25m,"Deadlift (Barbell)",8,225.0,5,0,0,,,
2023-03-02 12:34:18,"DL Day",95h 25m,"Nordic Curl Pushup Concentrics",1,0,5,0,0,"",,
2023-03-06 12:00:11,"Midday Workout",13m,"Overhead Press (Barbell)",1,45.0,8,0,0,"","",
2023-03-06 12:00:11,"Midday Workout",13m,"Overhead Press (Barbell)",2,55.0,8,0,0,,,
2023-03-06 12:00:11,"Midday Workout",13m,"Overhead Press (Barbell)",3,55.0,9,0,0,,,
2023-03-06 12:00:11,"Midday Workout",13m,"Face Pull (Cable)",1,140.0,21,0,0,"",,
2023-03-09 11:09:12,"Push-ups And Step downs",2h 13m,"Push Up",1,0,10,0,0,"","",
2023-03-09 11:09:12,"Push-ups And Step downs",2h 13m,"Push Up",2,0,13,0,0,,,
2023-03-09 11:09:12,"Push-ups And Step downs",2h 13m,"Push Up",3,0,12,0,0,,,
2023-03-09 11:09:12,"Push-ups And Step downs",2h 13m,"Step Down",1,0,10,0,0,"",,
2023-03-09 11:09:12,"Push-ups And Step downs",2h 13m,"Step Down",2,0,16,0,0,,,
2023-03-09 11:09:12,"Push-ups And Step downs",2h 13m,"High Incline Dumbbell Press",1,30.0,13,0,0,"",,
2023-03-09 11:09:12,"Push-ups And Step downs",2h 13m,"High Incline Dumbbell Press",2,30.0,17,0,0,,,
2023-03-09 11:09:12,"Push-ups And Step downs",2h 13m,"Bent Over Row (Dumbbell)",1,50.0,15,0,0,"",,
2023-03-09 11:09:12,"Push-ups And Step downs",2h 13m,"Bent Over Row (Dumbbell)",2,50.0,13,0,0,,,
2023-03-09 11:09:12,"Push-ups And Step downs",2h 13m,"Bent Over One Arm Row (Dumbbell)",1,50.0,16,0,0,"",,
2023-03-10 11:38:35,"Arms Et Al",38m,"21 Dumbbell Curls",1,25.0,21,0,0,"","",
2023-03-10 11:38:35,"Arms Et Al",38m,"21 Dumbbell Curls",2,25.0,21,0,0,,,
2023-03-10 11:38:35,"Arms Et Al",38m,"Lateral Raise (Dumbbell)",1,15.0,10,0,0,"",,
2023-03-10 11:38:35,"Arms Et Al",38m,"Lateral Raise (Dumbbell)",2,10.0,12,0,0,,,
2023-03-10 11:38:35,"Arms Et Al",38m,"Triceps Extension (Dumbbell)",1,45.0,11,0,0,"",,
2023-03-10 11:38:35,"Arms Et Al",38m,"Triceps Extension (Dumbbell)",2,45.0,12,0,0,,,
2023-03-10 11:38:35,"Arms Et Al",38m,"Triceps Extension (Dumbbell)",3,45.0,16,0,0,,,
2023-03-10 11:38:35,"Arms Et Al",38m,"Front Raise (Dumbbell)",1,15.0,20,0,0,"",,
2023-03-10 11:38:35,"Arms Et Al",38m,"Front Raise (Dumbbell)",2,15.0,12,0,0,,,
2023-03-10 11:38:35,"Arms Et Al",38m,"Rear Delt Raise",1,10.0,20,0,0,"",,
2023-03-10 11:38:35,"Arms Et Al",38m,"Rear Delt Raise",2,10.0,12,0,0,,,
2023-03-10 11:38:35,"Arms Et Al",38m,"Pullover (Dumbbell)",1,25.0,12,0,0,"",,
2023-03-10 11:38:35,"Arms Et Al",38m,"Pullover (Dumbbell)",2,35.0,8,0,0,,,
2023-03-10 11:38:35,"Arms Et Al",38m,"Pullover (Dumbbell)",3,45.0,10,0,0,,,
2023-03-10 11:38:35,"Arms Et Al",38m,"Pullover (Dumbbell)",4,50.0,10,0,0,,,
2023-03-10 11:38:35,"Arms Et Al",38m,"Deadhang",1,0,0,0,65,"",,
2023-03-13 16:03:17,"Post Cali Regen Sesh",58m,"Pull Up",1,0,3,0,0,"","",
2023-03-13 16:03:17,"Post Cali Regen Sesh",58m,"Pull Up",2,0,5,0,0,,,
2023-03-13 16:03:17,"Post Cali Regen Sesh",58m,"Pull Up",3,0,6,0,0,,,
2023-03-13 16:03:17,"Post Cali Regen Sesh",58m,"Reverse Squat",1,55.0,10,0,0,"",,
2023-03-13 16:03:17,"Post Cali Regen Sesh",58m,"Reverse Squat",2,70.0,4,0,0,,,
2023-03-13 16:03:17,"Post Cali Regen Sesh",58m,"Reverse Squat",3,80.0,4,0,0,,,
2023-03-13 16:03:17,"Post Cali Regen Sesh",58m,"Reverse Squat",4,90.0,4,0,0,,,
2023-03-13 16:03:17,"Post Cali Regen Sesh",58m,"Reverse Squat",5,90.0,10,0,0,,,
2023-03-13 16:03:17,"Post Cali Regen Sesh",58m,"Reverse Squat",6,90.0,10,0,0,,,
2023-03-13 16:03:17,"Post Cali Regen Sesh",58m,"Nordic Curl",1,0,3,0,0,"",,
2023-03-13 16:03:17,"Post Cali Regen Sesh",58m,"Nordic Curl",2,0,3,0,0,,,
2023-03-13 16:03:17,"Post Cali Regen Sesh",58m,"Tib Raises",1,10.0,40,0,0,"",,
2023-03-13 16:03:17,"Post Cali Regen Sesh",58m,"Tib Raises",2,20.0,30,0,0,,,
2023-03-13 16:03:17,"Post Cali Regen Sesh",58m,"Deadlift (Barbell)",1,135.0,8,0,0,"",,
2023-03-13 16:03:17,"Post Cali Regen Sesh",58m,"Deadlift (Barbell)",2,185.00000000000003,3,0,0,,,
2023-03-13 16:03:17,"Post Cali Regen Sesh",58m,"Deadlift (Barbell)",3,235.0,4,0,0,,,
2023-03-13 16:03:17,"Post Cali Regen Sesh",58m,"Deadlift (Barbell)",4,235.0,5,0,0,,,
2023-03-13 16:03:17,"Post Cali Regen Sesh",58m,"Deadlift (Barbell)",5,235.0,5,0,0,,,
2023-03-23 10:13:24,"DL Day",1h 14m,"Nordic Curl",1,0,2,0,0,"","",
2023-03-23 10:13:24,"DL Day",1h 14m,"Nordic Curl",2,0,2,0,0,,,
2023-03-23 10:13:24,"DL Day",1h 14m,"Nordic Curl",3,0,2,0,0,,,
2023-03-23 10:13:24,"DL Day",1h 14m,"Tib Raises",1,10.0,40,0,0,"",,
2023-03-23 10:13:24,"DL Day",1h 14m,"Tib Raises",2,20.0,30,0,0,,,
2023-03-23 10:13:24,"DL Day",1h 14m,"Deadlift (Barbell)",1,135.0,8,0,0,"",,
2023-03-23 10:13:24,"DL Day",1h 14m,"Deadlift (Barbell)",2,185.00000000000003,2,0,0,,,
2023-03-23 10:13:24,"DL Day",1h 14m,"Deadlift (Barbell)",3,225.0,2,0,0,,,
2023-03-23 10:13:24,"DL Day",1h 14m,"Deadlift (Barbell)",4,245.00000000000003,2,0,0,,,
2023-03-23 10:13:24,"DL Day",1h 14m,"Deadlift (Barbell)",5,275.0,1,0,0,,,
2023-03-23 10:13:24,"DL Day",1h 14m,"Deadlift (Barbell)",6,275.0,3,0,0,,,
2023-03-23 10:13:24,"DL Day",1h 14m,"Deadlift (Barbell)",7,265.0,5,0,0,,,
2023-03-23 10:13:24,"DL Day",1h 14m,"Deadlift (Barbell)",8,265.0,5,0,0,,,
2023-03-23 10:13:24,"DL Day",1h 14m,"Deadlift (Barbell)",9,265.0,5,0,0,,,
2023-03-23 10:13:24,"DL Day",1h 14m,"Deadlift (Barbell)",10,225.0,5,0,0,,,
2023-03-23 10:13:24,"DL Day",1h 14m,"Deadlift (Barbell)",11,135.0,5,0,0,,,
2023-03-23 10:13:24,"DL Day",1h 14m,"Front Squat (Barbell)",1,30.0,3,0,0,"",,
